CA,-,3.92,5.80,American Amber / Red Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Road To The Abbey,1,San Diego
CA,-,4.47,6.00,Vienna Lager,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Rock Out With Your Vienna Out,2,San Diego
CA,-,3.98,8.00,American Double / Imperial IPA,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Run For The Hills,35,San Diego
CA,-,3.59,5.40,Rye Beer,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Rye Pale Ale,3,San Diego
CA,-,3.51,6.25,American Brown Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Shake Your Money Maker,28,San Diego
CA,-,4.03,6.00,American Blonde Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Strawberry Blond,12,San Diego
CA,-,3.63,9.00,American Amber / Red Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Surly Mosh Pit,2,San Diego
CA,-,3.68,8.00,Belgian Strong Pale Ale,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,The Groupie,12,San Diego
CA,-,3.79,5.00,American IPA,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Tush,16,San Diego
CA,-,3.72,9.50,Oatmeal Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Unplugged,17,San Diego
CA,-,4.02,12.50,American Double / Imperial Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Unplugged Bullet,8,San Diego
CA,-,3.72,12.50,American Double / Imperial Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Unplugged Heaven,12,San Diego
CA,-,-,9.50,American Double / Imperial Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Unplugged Kopi Luwak,4,San Diego
CA,-,3.6,12.50,American Double / Imperial Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Unplugged Roses,4,San Diego
CA,-,-,12.50,American Double / Imperial Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Unplugged Trace,2,San Diego
CA,-,-,5.00,American Stout,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Verve,1,San Diego
CA,-,3.36,10.00,Quadrupel (Quad),(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Westbound And Down,10,San Diego
CA,-,3.7,4.50,American IPA,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Wet Hop Citra XPA,5,San Diego
CA,-,4.02,3.80,American Pale Ale (APA),(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Wet Hop MES,1,San Diego
CA,-,3.79,5.50,Euro Dark Lager,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,When The Lights Go Down In The City,1,San Diego
CA,-,3.72,6.00,American IPA,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Willow Wolves,48,San Diego
